ID,weight_schale_mg,weight_alle_mg,weight_netto_mg,radius1_cm,radius2_cm,Area_cm2,Comments
p73-01,450,483.1,33.1,"3,5",,,
p73-03,470,477.8,7.8,"2,2","2,0",,
p73-04,430,472.4,42.4,"2,4","2,2",,
p73-05,480,514.2,34.2,"3,2",,,
p73-09,420,477.9,57.9,"3,8","3,4",,
p73-11,410,441,31,"2,3",,,
p73-13,460,474.2,14.2,"1,7","1,4",,
p73-15,450,476.2,26.2,"1,7","1,5",,
p73-16,450,480.5,30.5,"4,2",,,
p73-17,444,453.4,9.4,"4,2",,,
p73-18,470,484.7,14.7,"2,0",,,
p73-19,450,468.1,18.1,"1,8","1,7",,
p73-22,450,462.7,12.7,"1,6","1,3",,
p73-23,470,488.4,18.4,"1,2",,,
p73-24,460,510,50,"4,2",,,
p73-27,460,492.6,32.6,"3,8",,,
p73-28,440,470.1,30.1,"0,7",,,Average Radius from many small colonys
p73-29,460,488,28,"3,7","3,5",,
p73-31,450,468.7,18.7,"2,8","2,2",,
p73-32,470,500.2,30.2,"4,2",,,
p73-33,460,500.5,40.5,"3,9",,,
p73-34,490,550,60,"4,2",,,
p73-35,450,472.4,22.4,"4,2",,,
p73-37,430,498.2,68.2,"4,2",,,
p73-38,460,465.4,5.4,"4,2",,,
p73-39,410,492.5,82.5,"4,2",,,
p73-41,450,497.9,47.9,"4,2",,,
p73-53,440,490.9,50.9,"4,2",,,
p74-02,440,511.1,71.1,"4,2",,,
p74-03,420,457.4,37.4,"4,2",,,
p74-11,460,498.4,38.4,"4,2",,,
p74-13,470,493.6,23.6,"3,6","3,5",,
p74-17,470,485.1,15.1,"0,9","0,7",,
p74-18,450,469.3,19.3,"4,2",,,
p74-21,470,487.3,17.3,"4,2",,,
p74-24,450,526.1,76.1,"4,2",,,
p74-26,470,501.9,31.9,"4,2",,,
p74-27,460,517.7,57.7,"4,2",,,
p74-28,450,491.7,41.7,"4,2",,,
p74-30,440,483.1,43.1,"4,2",,,
p74-35,420,460.8,40.8,"4,2",,,
p74-37,470,477.1,7.1,"3,1","2,9",,
p74-38,460,476.9,16.9,"4,1","3,8",,
p74-39,440,471.3,31.3,,,,
p74-40,430,470.9,40.9,"4,2",,,
p74-41,460,515.2,55.2,"4,2",,,
p74-42,440,467.3,27.3,"4,2",,,
p74-43,450,475.7,25.7,"4,2",,,
